,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
36506,60.0,0.8959999999999999,0.726,214547.0,0.177,2.14e-06,0.1159999999999999,-14824000000000000.0000000000,0.0353,92934.0000000000,0.618,classic
37591,63.0,0.0038399999999999,0.635,190448.0,0.9079999999999999,0.0834,0.239,-4795.0000000000,0.0563,110012.0000000000,0.637,pop
37658,59.0,75099999999.9999000000,0.35200000000000004,456320.0,0.956,0.0203,0.125,-3634.0000000000,0.149,122897.0000000000,0.228,rock
36060,54.0,0.945,0.488,352280.0,0.326,0.0157,0.11900000000000001,-12.02,0.0328,10606299999999900.0000000000,0.3229999999999999,hard
35710,55.0,0.245,0.667,273693.0,0.647,0.000297,0.0633,-7787000000000000.0000000000,0.0487,143995.0000000000,0.3,pop
35111,62.0,0.0108,0.743,243333.0,0.67,0.0702,0.22,-4547.0000000000,0.0293,11083200000000000.0000000000,0.934,pop
35594,58.0,0.00107,0.5,207173.0,0.836,4.03e-05,0.1969999999999999,-6165.0000000000,0.0454,9001100000000000.0000000000,0.41,pop
37473,74.0,0.0764,0.6859999999999999,200467.0,0.7829999999999999,0.0,0.163,-4977.0000000000,0.11900000000000001,11995296059529000.0000000000,0.8140000000000001,classic
37418,64.0,0.0027199999999999,0.235,227296.0,0.86,0.0969,0.3879999999999999,-2842.0000000000,0.0561,127788.0000000000,0.342,classic
36605,55.0,0.122,0.5,173773.0,0.8540000000000001,0.0,0.0794,-5151.0000000000,0.0945,94.96,0.4039999999999999,classic
37469,53.0,0.263,0.2,310933.0,0.434,0.0,0.1169999999999999,-14274000000000000.0000000000,0.0294,83876.0000000000,0.37,classic
35233,61.0,0.608,0.6729999999999999,117013.0,0.349,0.0,0.38,-12414000000000000.0000000000,0.0368,12445100000000000.0000000000,0.609,classic
35920,59.0,0.19,0.444,206173.0,0.56,0.0,0.1169999999999999,-51789999999999900.0000000000,0.0267,17222400000000000.0000000000,0.34,classic
35799,67.0,0.0102,0.68,233947.0,0.536,0.00105,0.113,-6669.0000000000,0.0582,119958.0000000000,0.41700000000000004,classic
38026,65.0,0.89,0.6,217400.0,0.243,0.0022,0.249,-17085.0000000000,0.0366,110535.0000000000,0.4679999999999999,classic
38548,58.0,0.88,0.309,241013.0,0.179,0.000346,0.1169999999999999,-17077.0000000000,0.0337,12149799999999900.0000000000,0.1669999999999999,classic
36078,59.0,0.833,0.47100000000000003,267067.0,0.1639999999999999,0.0,0.1009999999999999,-10879000000000000.0000000000,0.0324,125242.0000000000,0.17,classic
38356,58.0,0.0844,0.593,-1.0,0.8370000000000001,0.0,0.14800000000000002,-4834.0000000000,0.0302,99947.0000000000,0.569,classic
36749,71.0,0.0029,0.736,-1.0,0.711,0.000275,0.0948,-5502999999999990.0000000000,0.0352,112309.0000000000,0.7190000000000001,classic
36089,59.0,0.0088799999999999,0.49,224960.0,0.951,0.00126,0.376,-3888.0000000000,0.0966,158075.0000000000,0.628,classic
35931,51.0,0.49700000000000005,0.74,220427.0,0.816,0.0,0.195,-47639999999999900.0000000000,0.0765,91.91,0.963,classic
38054,50.0,149999999999.9990000000,0.5429999999999999,218973.0,0.866,0.0298,0.32,-4812.0000000000,0.0399,137946.0000000000,0.321,classic
36122,57.0,0.0837,0.498,175547.0,0.639,4.61e-05,0.1939999999999999,-6.04,0.0328,11995296059529000.0000000000,0.18,classic
35647,56.0,0.00463,0.469,207967.0,0.8540000000000001,0.0,0.344,-5.03,0.1639999999999999,18606099999999900.0000000000,0.5589999999999999,classic
39772,50.0,0.00328,0.522,141133.0,0.889,0.0,0.345,-4137.0000000000,0.0461,144499.0000000000,0.852,classic
35506,51.0,0.0691,0.557,-1.0,0.61,0.0117,0.341,-9899.0000000000,0.111,155966.0000000000,0.128,classic
39071,59.0,0.14400000000000002,0.613,285467.0,0.531,3.74e-06,0.8009999999999999,-9172.0000000000,0.0338,152023.0000000000,0.3379999999999999,classic
35338,66.0,0.17300000000000001,0.589,212827.0,0.8440000000000001,0.0,0.076,-3925.0000000000,0.0626,81945.0000000000,0.562,pop
39689,62.0,0.0003259999999999,0.499,205440.0,0.958,2.19e-06,0.43200000000000005,-5417000000000000.0000000000,0.0898,127491.0000000000,0.359,pop
35491,55.0,0.0295,0.542,185907.0,0.7659999999999999,0.0802,0.396,-54110000000000000.0000000000,0.0282,8806200000000000.0000000000,0.643,pop
36967,60.0,0.0847,0.40700000000000003,349187.0,0.424,0.0,0.2339999999999999,-10583.0000000000,0.0318,113311.0000000000,0.4039999999999999,pop
35398,62.0,0.0904,0.395,234973.0,0.5379999999999999,0.000453,0.0685,-10.3,0.0456,150785.0000000000,0.369,pop
39847,61.0,0.7959999999999999,0.4589999999999999,268530.0,0.317,0.0,0.126,-6856.0000000000,0.0279,137748.0000000000,0.297,pop
39871,64.0,0.41200000000000003,0.652,163600.0,0.583,0.0,0.11900000000000001,-7811.0000000000,0.038,11995296059529000.0000000000,0.7440000000000001,pop
36760,63.0,0.0105,0.359,563893.0,0.762,0.281,0.368,-8323.0000000000,0.032,89259.0000000000,0.1669999999999999,pop
37520,63.0,0.069,0.48,163453.0,0.9690000000000001,0.00022,0.0608,-7463999999999990.0000000000,0.0854,142489.0000000000,0.494,pop
38590,63.0,0.000393,0.272,262133.0,0.747,4.03e-05,0.16,-4.86,0.0401,20277700000000000.0000000000,0.255,pop
39320,57.0,0.732,0.48,-1.0,0.298,0.00295,0.1,-13477.0000000000,0.0356,12802200000000000.0000000000,0.0556,pop
39971,54.0,0.0074,0.6659999999999999,220462.0,0.573,0.000233,0.1159999999999999,-8369.0000000000,0.0361,9698200000000000.0000000000,0.4379999999999999,pop
37104,62.0,0.000198,0.39,177048.0,0.91,0.0,0.156,-32680000000000000.0000000000,0.133,162253.0000000000,0.644,pop
38604,53.0,0.0541,0.6509999999999999,269613.0,0.875,0.00984,0.0254,-4349.0000000000,0.0409,92022.0000000000,0.83,hard
39126,66.0,0.00941,0.5529999999999999,208280.0,0.8370000000000001,0.0,0.37200000000000005,-5608.0000000000,0.0452,140495.0000000000,0.43200000000000005,rock
35034,54.0,0.174,0.568,213600.0,0.7140000000000001,0.0,0.0429,-71389999999999900.0000000000,0.0445,146338.0000000000,0.955,rock
35070,71.0,0.0272,0.5770000000000001,168613.0,0.9390000000000001,0.0,0.24,-13519999999999900.0000000000,0.10800000000000001,10509200000000000.0000000000,0.7140000000000001,rock
35843,63.0,5.91e-06,0.382,298253.0,0.867,0.581,0.196,-7426.0000000000,0.0399,87309.0000000000,0.4529999999999999,rock
38911,57.0,0.735,0.7170000000000001,146400.0,0.373,0.0,0.303,-7185.0000000000,0.061,138513.0000000000,0.5379999999999999,rock
38778,57.0,0.9129999999999999,0.35600000000000004,179107.0,0.26,21000000000.0000000000,0.105,-10577.0000000000,0.0314,144184.0000000000,0.49,rock
39640,57.0,0.0424,0.629,244360.0,0.69,0.0,0.363,-4894.0000000000,0.0357,102036.0000000000,0.307,rock
38166,63.0,0.2689999999999999,0.45,297320.0,0.35600000000000004,0.515,0.0944,-13692.0000000000,0.0337,179937.0000000000,0.0839,rock
37664,72.0,0.198,0.58,206360.0,0.498,0.0,0.132,-6901.0000000000,0.0277,116271.0000000000,0.111,rock
39620,61.0,0.314,0.687,204333.0,0.648,1.37e-06,0.289,-9137.0000000000,0.027000000000000003,12134100000000000.0000000000,0.6,rock
39633,67.0,0.344,0.489,176147.0,0.637,0.0,0.17600000000000002,-50139999999999900.0000000000,0.0402,170157.0000000000,0.345,rock
37456,58.0,0.00144,0.627,194533.0,0.63,0.19,0.337,-12.33,0.0403,125154.0000000000,0.3229999999999999,rock
37851,52.0,0.0271,0.691,222000.0,0.754,0.0719,0.8809999999999999,-8136000000000000.0000000000,0.0372,144085.0000000000,0.924,rock
36149,54.0,0.0489,0.332,214106.0,0.731,0.0034700000000000004,0.17800000000000002,-4565.0000000000,0.0446,9002799999999990.0000000000,0.636,rock
38083,63.0,7.53e-06,0.5589999999999999,213920.0,0.871,0.00524,0.096,-5337999999999990.0000000000,0.0392,104976.0000000000,0.573,rock
36108,53.0,0.000242,0.34600000000000003,185524.0,0.75,0.0119,0.271,-6619.0000000000,0.10300000000000001,16503599999999900.0000000000,0.667,rock
35173,53.0,0.7440000000000001,0.257,233901.0,0.452,0.0996,0.38,-12365.0000000000,0.0349,11995296059529000.0000000000,0.271,rock
36675,49.0,0.00591,0.35600000000000004,193213.0,0.8370000000000001,283000000000.0000000000,0.0635,-4166.0000000000,0.0721,131668.0000000000,0.54,rock
37575,66.0,0.00187,0.552,299733.0,0.645,1.38e-06,0.0424,-6595.0000000000,0.0268,8951799999999990.0000000000,0.588,rock
37382,72.0,0.909,0.643,250907.0,0.344,0.0112,0.106,-11342.0000000000,0.0349,144171.0000000000,0.547,rock
39400,51.0,0.0028699999999999,0.6759999999999999,286933.0,0.687,0.000446,0.2739999999999999,-7792000000000000.0000000000,0.0234,100.06,0.4029999999999999,rock
39262,61.0,0.426,0.7020000000000001,236973.0,0.9009999999999999,0.0015300000000000001,0.0368,-4.45,0.0264,9786200000000000.0000000000,0.919,rock
38867,67.0,0.05,0.813,242200.0,0.977,2.75e-05,0.147,-60779999999999900.0000000000,0.0476,114316.0000000000,0.8420000000000001,rock
35028,54.0,0.0173,0.575,246333.0,0.591,0.0,0.17300000000000001,-5916.0000000000,0.0279999999999999,10796700000000000.0000000000,0.332,rock
37638,54.0,0.0887,0.626,260853.0,0.691,9.63e-05,0.115,-5872999999999990.0000000000,0.0283,109005.0000000000,0.396,rock
38345,70.0,0.000242,0.606,193000.0,0.887,0.0,0.337,-4404.0000000000,0.0598,11997399999999900.0000000000,0.903,rock
37220,69.0,0.00468,0.499,134200.0,0.873,0.0,0.165,-39019999999999900.0000000000,0.0386,142726.0000000000,0.8640000000000001,hard
38687,64.0,0.00165,0.519,239333.0,0.78,2.14e-05,0.156,-4939.0000000000,0.0356,145125.0000000000,0.166,hard
39729,58.0,0.595,0.503,165613.0,0.772,2.47e-06,0.1989999999999999,-6205.0000000000,0.0322,79462.0000000000,0.935,hard
36912,59.0,0.10400000000000001,0.595,234427.0,0.792,3.29e-06,0.171,-5426.0000000000,0.0297,119531.0000000000,0.611,hard
35089,51.0,0.491,0.617,141091.0,0.6559999999999999,7.84e-06,0.0796,-8023.0000000000,0.304,84712.0000000000,0.475,hard
35232,77.0,0.193,0.47700000000000004,-1.0,0.47100000000000003,1.76e-06,0.131,-10036.0000000000,0.0277,81204.0000000000,0.423,hard
35301,79.0,0.29600000000000004,0.623,191360.0,0.41700000000000004,0.0,0.135,-8699.0000000000,0.0354,130032.0000000000,0.721,hard
36006,49.0,0.0946,0.419,281000.0,0.748,0.000174,0.0916,-8142000000000000.0000000000,0.0521,85.02,0.41700000000000004,hard
37143,59.0,0.122,0.593,218853.0,0.601,5.69e-06,0.18100000000000002,-5996.0000000000,0.0289999999999999,11995296059529000.0000000000,0.531,hard
35716,57.0,0.00864,0.509,238200.0,0.935,1.17e-06,0.255,-3633.0000000000,0.0493,148062.0000000000,0.501,hard
37806,62.0,0.027000000000000003,0.521,192333.0,0.9009999999999999,0.0651,0.10800000000000001,-5518.0000000000,0.067,13118200000000000.0000000000,0.8170000000000001,hard
37532,55.0,0.271,0.42100000000000004,263253.0,0.633,0.0,0.113,-68370000000000000.0000000000,0.0433,155715.0000000000,0.161,hard
38757,57.0,0.968,0.573,115827.0,0.235,0.0198,0.105,-16982.0000000000,0.0426,79578.0000000000,0.8340000000000001,hard
38326,76.0,0.386,0.49,145747.0,0.715,0.0,0.311,-55489999999999900.0000000000,0.0476,130726.0000000000,0.866,hard
38186,60.0,0.0141,0.441,270800.0,0.563,3.69e-06,0.1009999999999999,-7274.0000000000,0.0251,85711.0000000000,0.209,hard
39188,63.0,0.40700000000000003,0.759,220893.0,0.779,0.061,0.159,-9375.0000000000,0.0347,128211.0000000000,0.9179999999999999,hard
36620,56.0,0.0116,0.507,-1.0,0.6659999999999999,0.3429999999999999,0.129,-8362.0000000000,0.0289999999999999,77979.0000000000,0.185,hard
38029,70.0,0.0056799999999999,0.441,-1.0,0.762,331000000000.0000000000,0.0865,-38569999999999900.0000000000,0.0438,16796400000000000.0000000000,0.743,hard
36418,62.0,0.0234,0.628,210653.0,0.797,3.57e-06,0.1119999999999999,-6103.0000000000,0.0371,11995296059529000.0000000000,0.49700000000000005,hard
35768,73.0,0.506,0.7440000000000001,328293.0,0.545,0.0977,0.0649,-9361.0000000000,0.0297,9740899999999990.0000000000,0.34600000000000003,hard
35660,59.0,0.0185,0.6559999999999999,248960.0,0.721,0.0,0.0478,-5675.0000000000,0.0322,93947.0000000000,0.47200000000000003,hard
39802,53.0,0.903,0.637,214240.0,0.129,0.0,0.107,-11.89,0.0405,13974200000000000.0000000000,0.368,hard
38854,56.0,0.0238,0.655,313533.0,0.6940000000000001,0.0,0.0344,-5184.0000000000,0.0326,96458.0000000000,0.431,hard
39158,58.0,0.0019199999999999,0.49,205040.0,0.6990000000000001,6.45e-06,0.111,-5.55,0.0289,85955.0000000000,0.364,hard
35473,54.0,0.0487,0.565,234040.0,0.615,1.93e-06,0.16,-10793.0000000000,0.0384,143928.0000000000,0.591,hard
35162,53.0,0.0133,0.2289999999999999,215653.0,0.871,2.18e-06,0.266,-4558.0000000000,0.10300000000000001,86965.0000000000,0.395,hard
36300,53.0,0.0157,0.6629999999999999,212613.0,0.777,0.00829,0.0755,-5496.0000000000,0.0375,143003.0000000000,0.94,hard
35502,55.0,0.479,0.345,259741.0,0.461,0.0184,0.0993,-12062999999999900.0000000000,0.0645,96346.0000000000,0.171,hard
